Month,Category,Value,Percentage Change (From Prior Month)
31-03-2023,Headline_CPI,109,1
31-03-2023,Food and non-alcoholic beverages,116.7,1
31-03-2023,Alcoholic beverages and tobacco,109.2,2.2
31-03-2023,Clothing and footwear,103.4,-0.1
31-03-2023,Housing and utilities,104.5,0.4
31-03-2023,Household contents and services,107.8,1.1
31-03-2023,Health,109.1,0.6
31-03-2023,Transport,112.9,2.1
31-03-2023,Communication,99.7,-0.1
31-03-2023,Recreation and culture,104.2,0.9
31-03-2023,Education,110.4,5.7
31-03-2023,Restaurants and hotels ,109.6,0.7
31-03-2023,Miscellaneous goods and services,107.9,0.2
28-02-2023,Headline_CPI,107.9,0.7
28-02-2023,Food and non-alcoholic beverages,115.6,1
28-02-2023,Alcoholic beverages and tobacco,106.9,0.4
28-02-2023,Clothing and footwear,103.5,0.6
28-02-2023,Housing and utilities,104.1,0
28-02-2023,Household contents and services,106.6,0
28-02-2023,Health,108.5,3.4
28-02-2023,Transport,110.6,0.6
28-02-2023,Communication,99.8,0.4
28-02-2023,Recreation and culture,103.3,-0.1
28-02-2023,Education,104.4,0
28-02-2023,Restaurants and hotels ,108.8,1.9
28-02-2023,Miscellaneous goods and services,107.7,2.2
31-01-2023,Headline_CPI,107.1,-0.1
31-01-2023,Food and non-alcoholic beverages,114.4,1.8
31-01-2023,Alcoholic beverages and tobacco,106.5,0.3
31-01-2023,Clothing and footwear,102.9,0.1
31-01-2023,Housing and utilities,104.1,0
31-01-2023,Household contents and services,106.6,0.5
31-01-2023,Health,104.9,0.1
31-01-2023,Transport,109.9,-3.5
31-01-2023,Communication,99.4,0.3
31-01-2023,Recreation and culture,103.4,0
31-01-2023,Education,104.4,0
31-01-2023,Restaurants and hotels ,106.8,-0.9
31-01-2023,Miscellaneous goods and services,105.4,0.5
31-12-2022,Headline_CPI,107.2,0.4
31-12-2022,Food and non-alcoholic beverages,112.4,0.4
31-12-2022,Alcoholic beverages and tobacco,106.2,-0.2
31-12-2022,Clothing and footwear,102.8,0.2
31-12-2022,Housing and utilities,104.1,0.3
31-12-2022,Household contents and services,106.1,0.9
31-12-2022,Health,104.8,0.1
31-12-2022,Transport,113.9,0.7
31-12-2022,Communication,99.1,-0.1
31-12-2022,Recreation and culture,103.4,0.6
31-12-2022,Education,104.4,0
31-12-2022,Restaurants and hotels ,107.8,-0.2
31-12-2022,Miscellaneous goods and services,104.9,0.2
30-11-2022,Headline_CPI,106.8,0.3
30-11-2022,Food and non-alcoholic beverages,111.9,0.5
30-11-2022,Alcoholic beverages and tobacco,106.4,0.3
30-11-2022,Clothing and footwear,102.6,0
30-11-2022,Housing and utilities,103.8,0
30-11-2022,Household contents and services,105.2,0.2
30-11-2022,Health,104.7,0.2
30-11-2022,Transport,113.1,1.3
30-11-2022,Communication,99.2,-0.6
30-11-2022,Recreation and culture,102.8,0.1
