Month,Local_Passenger_Vehicles,Export_Sales_Passenger_Vehicles,Local_Light_Commercial_Vehicles,Export_Sales_Light_Commercial_Vehicles,Local_Medium_Commercial_Vehicles,Export_Sales_Medium_Commercial_Vehicles,Local_Heavy_Commercial_Vehicles,Export_Sales_Heavy_Commercial_Vehicles,Local_Extra_Heavy_Commercial_Vehicles,Export_Sales_Extra_Heavy_Commercial_Vehicles,Local_Bus_Sales,Export_Sales_Buses,Total_Local Sales,Total_Export_Sales
23-Mar,31631,23481,15529,10578,870,18,491,32,1593,25,43,0,50157,34134
23-Feb,29976,20079,12972,10244,697,33,435,8,1244,40,28,5,45352,30409
23-Jan,31072,11227,10622,9243,461,5,331,28,976,29,47,4,43509,20536
22-Dec,28793,16844,10438,9406,865,15,417,11,1198,26,72,0,41783,26302
22-Nov,32859,23522,13477,10710,900,32,546,13,1551,33,80,0,49413,34310
22-Oct,30597,18023,12738,11373,769,43,523,35,1285,32,54,2,45966,29508
22-Sep,32392,23680,12573,17691,882,17,490,56,1367,27,82,3,47786,41474
22-Aug,31269,17622,13281,10981,715,10,558,25,1516,21,81,3,47420,28662
22-Jul,31455,23479,9547,7670,790,21,471,50,1281,18,49,4,43593,31242
22-Jun,29545,23745,8877,9194,697,57,560,33,1263,10,77,15,41019,33054
22-May,27437,19155,9221,6582,614,2,536,22,1314,12,55,13,39177,25786
22-Apr,25653,21512,9558,9179,475,8,456,26,931,54,34,9,37107,30788
22-Mar,33790,22936,13975,11254,798,18,546,20,1449,56,49,1,50607,34285
22-Feb,29563,22250,12290,10589,572,8,530,14,1242,6,32,0,44229,32867
22-Jan,30037,10404,9629,8652,465,7,329,13,907,11,15,2,41382,19089
21-Dec,24949,9778,8990,11589,630,9,352,28,958,25,69,1,35948,21430
21-Nov,27828,10775,11156,8706,779,11,473,27,1295,28,57,1,41588,19548
21-Oct,27496,11995,11188,11650,576,10,449,16,1277,11,49,3,41035,23685
21-Sep,29538,6009,10943,6128,762,9,459,24,1355,29,73,3,43130,12202
21-Aug,27157,11888,11749,7505,719,13,476,18,1279,18,45,4,41425,19446
21-Jul,20575,8544,10266,8358,587,7,385,6,1076,14,60,2,32949,16931
21-Jun,24482,14653,11208,13679,687,5,478,21,1116,21,59,5,38030,28384
21-May,24122,19294,11930,16009,559,14,479,1,1215,7,32,1,38337,35326
21-Apr,22911,17378,10879,9079,511,14,344,21,1097,30,37,0,35779,26522
21-Mar,27330,20431,14375,19545,705,9,521,1,1235,40,51,0,44217,40026
21-Feb,24270,19194,11246,10328,560,7,338,11,1059,42,48,0,37521,29582
21-Jan,23853,17004,9301,5738,497,6,223,15,831,8,79,0,34784,22771
20-Dec,24784,11003,10801,7434,537,7,338,3,933,22,100,10,37493,18479
