Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target
Id_eqz61wz7yn,2022-02-23,2,studying,,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,,50 - 59 %,,0 - 29 %,1,1,2000,5,0
Id_kj5k3g5wud,2023-02-06,4,unemployed,427.0,Suburb,North West,1.0,0.0,0.0,1.0,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1989,4,1
Id_9h0isj38y4,2022-08-08,3,other,,Urban,Free State,1.0,0.0,0.0,,30 - 39 %,,40 - 49 %,,30 - 39 %,0,1,1996,7,1
Id_5ch3zwpdef,2022-03-16,2,unemployed,810.0,Urban,Eastern Cape,,,,,,,,,,0,1,2000,1,0
Id_g4elxibjej,2023-03-22,4,studying,,Urban,Limpopo,,,,,,,,,,1,1,1998,12,0
Id_l9uksprsdf,2023-03-23,4,studying,,Rural,KwaZulu-Natal,,,,,,,,,,1,1,1996,12,0
Id_o873eizyxq,2023-02-28,4,unemployed,1826.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,2000,1,0
Id_snwm3eylks,2023-02-28,4,unemployed,462.0,Urban,Mpumalanga,0.0,0.0,0.0,3.0,,,,,,0,1,1997,1,0
Id_xfbqnyzvov,2023-02-09,4,wage employed,273.0,Urban,KwaZulu-Natal,1.0,,,1.0,0 - 29 %,,60 - 69 %,,30 - 39 %,0,1,2000,1,0
Id_mj4hcy8x75,2023-03-01,4,self employed,1859.0,Rural,Limpopo,,,,,,,,,,0,1,1991,4,1
Id_h7gc4tnjg4,2022-08-10,3,other,,Urban,Gauteng,1.0,,,2.0,30 - 39 %,,50 - 59 %,,40 - 49 %,1,1,1999,9,1
Id_nnrpawrczv,2022-02-23,2,unemployed,736.0,Urban,Limpopo,1.0,,,1.0,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1992,3,0
Id_x5fkg0l401,2021-08-19,1,studying,,Urban,KwaZulu-Natal,1.0,,,4.0,60 - 69 %,,60 - 69 %,,60 - 69 %,0,1,1998,9,1
Id_syk9ubb0fi,2021-08-19,1,wage employed,0.0,Suburb,Mpumalanga,0.0,,,1.0,,,,,,0,1,1987,12,0
Id_zaol8djev9,2022-03-02,2,unemployed,796.0,Urban,KwaZulu-Natal,1.0,,,,30 - 39 %,,70 - 79 %,,30 - 39 %,0,1,2000,12,0
Id_j028yx8q4y,2021-08-18,1,self employed,2181.0,Urban,Free State,1.0,0.0,0.0,3.0,,,40 - 49 %,,,1,1,1989,11,1
Id_0znjq6ybh6,2022-07-28,3,self employed,1527.0,Urban,Gauteng,1.0,0.0,0.0,5.0,,60 - 69 %,,40 - 49 %,,0,1,2000,5,1
Id_qwzzy053ij,2022-02-28,2,studying,,Urban,Free State,1.0,0.0,0.0,1.0,30 - 39 %,,30 - 39 %,,30 - 39 %,0,1,1994,6,1
Id_p9215a0s3n,2022-08-12,3,other,,Urban,Western Cape,1.0,,,,,40 - 49 %,60 - 69 %,,,1,1,1999,10,1
Id_qssqo87bxo,2022-03-03,2,unemployed,0.0,Urban,North West,1.0,0.0,0.0,1.0,,50 - 59 %,50 - 59 %,,,1,1,2000,1,1
Id_pasuq7vzqx,2022-03-11,2,unemployed,461.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,30 - 39 %,,50 - 59 %,,0 - 29 %,1,1,2000,1,0
Id_v9hd6vf2zj,2023-02-15,4,unemployed,2593.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,,,,,,,1,1,1994,1,0
Id_sbqyyc6c6z,2023-03-23,4,studying,,Urban,KwaZulu-Natal,,,,,,,,,,1,1,1999,8,0
Id_icpsk4fk4m,2023-02-20,4,self employed,,Urban,Gauteng,1.0,0.0,0.0,4.0,,40 - 49 %,,40 - 49 %,,0,1,2001,3,0
Id_pk6yf9ymk9,2022-03-08,2,unemployed,1532.0,Rural,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,1993,11,0
Id_1vnhqk5dv4,2022-08-11,3,studying,,Urban,Gauteng,,,,,,,,,,0,1,2003,12,0
Id_a4g4inxt9b,2022-08-03,3,unemployed,217.0,Urban,KwaZulu-Natal,,,,,,,,,,1,1,1993,11,0
Id_mgs7xx0z7x,2022-03-07,2,employment programme,790.0,Urban,Gauteng,1.0,,,5.0,,60 - 69 %,,50 - 59 %,,0,1,2000,1,0
Id_zk43y06kue,2023-03-22,4,wage employed,641.0,Suburb,Limpopo,1.0,0.0,0.0,2.0,,40 - 49 %,50 - 59 %,,,1,1,1998,1,0
Id_q5p3xwzvgj,2022-02-25,2,unemployed,951.0,Urban,Eastern Cape,0.0,,,3.0,,,,,,0,1,1987,9,0
Id_la2wedbqnn,2023-02-13,4,wage employed,334.0,Rural,North West,1.0,0.0,0.0,,,30 - 39 %,50 - 59 %,,,1,1,2000,1,0
Id_dsokj518i3,2023-02-09,4,unemployed,250.0,Rural,Limpopo,,,,,,,,,,1,1,1997,9,0
Id_fvro19s1he,2023-03-15,4,studying,,Rural,Mpumalanga,1.0,1.0,0.0,,0 - 29 %,,60 - 69 %,,,1,1,2000,6,0
Id_2fqa1fu25o,2022-08-11,3,other,,Rural,KwaZulu-Natal,,,,,,,,,,0,1,1997,10,1
Id_agwy8xs4xf,2022-03-15,2,unemployed,827.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,,40 - 49 %,40 - 49 %,,,1,1,2000,1,0
Id_3gzmmiavue,2021-08-19,1,studying,,Rural,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,30 - 39 %,0,1,1992,1,1
Id_3q21nanivx,2022-08-10,3,other,,Rural,KwaZulu-Natal,1.0,0.0,0.0,0.0,,30 - 39 %,50 - 59 %,,,1,1,1988,10,1
Id_0rhx3682ay,2022-03-14,2,unemployed,522.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,,40 - 49 %,,50 - 59 %,,30 - 39 %,1,1,2000,1,0
Id_1fw74rpdkq,2021-08-13,1,employment programme,0.0,Urban,Mpumalanga,1.0,,,4.0,,,,,,0,1,1993,8,0
